year,month,day,dep_time,arr_time,carrier,tailnum,flight,origin,dest,carrier_delay,weather_delay,nas_delay,aircraft_delay
2014,1,1,1733,2024,AA,N3HPAA,199,JFK,ORD,0,7,51,11
2014,1,1,1718,1840,B6,N324JB,1734,JFK,BTV,0,18,6,0
2014,1,1,624,946,DL,N3751B,479,JFK,ATL,0,9,45,0
2014,1,1,910,1203,DL,N910DL,1174,LGA,PBI,0,52,0,0
2014,1,1,1850,2052,MQ,N1EAMQ,2839,LGA,STL,0,35,12,0
2014,1,2,2049,45,AA,N319AA,21,JFK,LAX,0,87,41,22
2014,1,2,738,1124,AA,N335AA,33,JFK,LAX,0,8,26,0
2014,1,2,5,339,AA,N335AA,185,JFK,LAX,0,53,14,97
2014,1,2,1618,1958,AA,N339AA,133,JFK,LAX,0,32,5,1
2014,1,2,1657,2050,AA,N5FAAA,145,JFK,MIA,0,6,18,101
2014,1,2,1939,2351,AA,N336AA,177,JFK,SFO,0,114,32,0
2014,1,2,1445,1620,AA,N3KDAA,178,JFK,BOS,0,1,35,114
2014,1,2,1841,2013,AA,N3AEAA,256,JFK,BOS,0,63,12,13
2014,1,2,1837,2108,AA,N3FDAA,199,JFK,ORD,0,33,31,49
2014,1,2,1625,2020,AA,N3DDAA,211,JFK,IAH,0,10,45,0
2014,1,2,1920,2316,AA,N3BCAA,291,JFK,AUS,0,74,36,51
2014,1,2,615,819,AA,N3GKAA,301,LGA,ORD,0,15,19,0
2014,1,2,653,855,AA,N3BSAA,303,LGA,ORD,0,23,17,0
2014,1,2,838,1042,AA,N3DYAA,307,LGA,ORD,0,58,19,0
2014,1,2,925,1126,AA,N560AA,313,LGA,ORD,0,35,16,0
2014,1,2,959,1309,AA,N3EAAA,317,LGA,ORD,0,14,85,0
2014,1,2,1231,1445,AA,N4WSAA,327,LGA,ORD,0,4,34,42
2014,1,2,1405,1723,AA,N3JTAA,331,LGA,ORD,0,10,103,35
2014,1,2,1944,2117,AA,N547AA,343,LGA,ORD,0,45,0,127
