Symbol	Strike	Price	Type
UBS140118C00010000	10.00	9.50	"Call"
UBS140118C00012000	12.00	7.90	"Call"
UBS140118C00013000	13.00	6.90	"Call"
UBS140118C00014000	14.00	4.30	"Call"
UBS140118C00015000	15.00	3.20	"Call"
UBS140118C00016000	16.00	3.70	"Call"
UBS140118C00017000	17.00	1.65	"Call"
UBS140118C00018000	18.00	1.04	"Call"
UBS140118C00019000	19.00	0.50	"Call"
UBS140118C00020000	20.00	0.20	"Call"
UBS140118C00021000	21.00	0.09	"Call"
UBS140118C00022000	22.00	0.10	"Call"
UBS140118C00023000	23.00	0.03	"Call"
UBS140118C00024000	24.00	0.20	"Call"
UBS140118C00025000	25.00	0.05	"Call"
UBS140118C00030000	30.00	0.02	"Call"
UBS140118P00005000	5.00	0.05	"Put"
UBS140118P00008000	8.00	0.10	"Put"
UBS140118P00010000	10.00	0.10	"Put"
UBS140118P00012000	12.00	0.21	"Put"
UBS140118P00015000	15.00	0.15	"Put"
UBS140118P00016000	16.00	0.20	"Put"
UBS140118P00017000	17.00	0.25	"Put"
UBS140118P00018000	18.00	0.45	"Put"
UBS140118P00019000	19.00	1.00	"Put"
UBS140118P00020000	20.00	1.75	"Put"
UBS140118P00021000	21.00	2.80	"Put"
UBS140118P00022000	22.00	3.99	"Put"
UBS140118P00024000	24.00	5.77	"Put"
UBS140118P00025000	25.00	7.91	"Put"
UBS140118P00030000	30.00	12.20	"Put"
